Policy_ID,Customer_Age,Gender,City,State,Policy_Type,Premium_Amount,Sum_Assured,Policy_Term_Years,Payment_Mode,Policy_Status,Claim_Status,Claim_Amount,Agent_ID,Policy_Start_Date,Age_Group,Year,Month
LIC100057,55,Female,Bhopal,Madhya Pradesh,Endowment,60300,1060000,25,Quarterly,Active,Not Claimed,0,AG1109,2023-10-02,46-55,2023,2023-10
LIC100058,45,Male,Delhi,Delhi,Whole Life,37600,330000,25,Quarterly,Active,Not Claimed,0,AG1228,2024-03-13,36-45,2024,2024-03
LIC100059,54,Male,Lucknow,Uttar Pradesh,Whole Life,50800,1099000,20,Half-Yearly,Active,Not Claimed,0,AG1242,2019-12-15,46-55,2019,2019-12
LIC100060,48,Female,Chennai,Tamil Nadu,Money Back,41200,368000,5,Yearly,Active,Not Claimed,0,AG1297,2023-09-17,46-55,2023,2023-09
LIC100061,41,Male,Nagpur,Maharashtra,Term,35900,857000,10,Quarterly,Active,Not Claimed,0,AG1029,2021-12-22,36-45,2021,2021-12
LIC100062,22,Male,Kanpur,Uttar Pradesh,ULIP,56100,651000,25,Quarterly,Active,Not Claimed,0,AG1109,2026-05-15,18-25,2026,2026-05
LIC100063,36,Male,Surat,Gujarat,Endowment,49800,811000,10,Monthly,Active,Not Claimed,0,AG1011,2021-10-29,36-45,2021,2021-10
LIC100064,35,Male,Ahmedabad,Gujarat,Whole Life,20500,189000,10,Yearly,Matured,Not Claimed,0,AG1095,2023-09-10,26-35,2023,2023-09
LIC100065,27,Male,Nagpur,Maharashtra,Money Back,30300,532000,12,Half-Yearly,Matured,Not Claimed,0,AG1132,2024-09-06,26-35,2024,2024-09
LIC100066,23,Male,Ahmedabad,Gujarat,Endowment,48600,800000,20,Quarterly,Surrendered,Claimed,607000,AG1093,2020-03-10,18-25,2020,2020-03
LIC100067,44,Male,Kanpur,Uttar Pradesh,Term,19500,292000,20,Yearly,Active,Not Claimed,0,AG1054,2019-03-01,36-45,2019,2019-03
LIC100068,43,Female,Indore,Madhya Pradesh,Term,20800,179000,12,Half-Yearly,Active,Not Claimed,0,AG1242,2020-10-25,36-45,2020,2020-10
LIC100069,26,Male,Kochi,Kerala,Pension,38200,876000,10,Half-Yearly,Active,Not Claimed,0,AG1195,2019-11-22,26-35,2019,2019-11
LIC100070,31,Female,Surat,Gujarat,Pension,49700,1076000,20,Half-Yearly,Active,Not Claimed,0,AG1258,2026-07-23,26-35,2026,2026-07
LIC100071,52,Male,Indore,Madhya Pradesh,Whole Life,37300,700000,25,Half-Yearly,Active,Not Claimed,0,AG1068,2025-09-28,46-55,2025,2025-09
LIC100072,29,Male,Jaipur,Rajasthan,Term,12900,229000,10,Yearly,Active,Not Claimed,0,AG1300,2018-07-19,26-35,2018,2018-07
LIC100073,41,Male,Surat,Gujarat,Endowment,53900,1068000,10,Quarterly,Matured,Not Claimed,0,AG1190,2021-07-20,36-45,2021,2021-07
LIC100074,37,Male,Indore,Madhya Pradesh,ULIP,33100,346000,20,Monthly,Active,Not Claimed,0,AG1128,2020-02-15,36-45,2020,2020-02
LIC100075,45,Male,Mumbai,Maharashtra,ULIP,61300,1462000,20,Monthly,Matured,Not Claimed,0,AG1019,2018-08-14,36-45,2018,2018-08
LIC100076,30,Male,Hyderabad,Telangana,Term,29500,379000,20,Half-Yearly,Active,Not Claimed,0,AG1172,2019-04-16,26-35,2019,2019-04
LIC100077,40,Male,Jaipur,Rajasthan,Term,23100,443000,20,Yearly,Active,Not Claimed,0,AG1062,2023-08-28,36-45,2023,2023-08
LIC100078,41,Male,Mumbai,Maharashtra,Whole Life,38800,711000,25,Quarterly,Active,Not Claimed,0,AG1067,2022-11-14,36-45,2022,2022-11
LIC100079,42,Male,Bhopal,Madhya Pradesh,Endowment,35400,666000,10,Monthly,Active,Not Claimed,0,AG1211,2019-09-21,36-45,2019,2019-09
LIC100080,40,Male,Ahmedabad,Gujarat,Endowment,73100,1677000,10,Yearly,Surrendered,Claimed,772000,AG1175,2023-08-20,36-45,2023,2023-08
LIC100081,43,Male,Patna,Bihar,Term,29000,378000,20,Yearly,Active,Not Claimed,0,AG1007,2026-07-08,36-45,2026,2026-07
LIC100082,63,Female,Coimbatore,Tamil Nadu,Money Back,38000,788000,25,Yearly,Active,Not Claimed,0,AG1233,2018-02-10,56-65,2018,2018-02
LIC100083,67,Male,Chandigarh,Chandigarh,Pension,58200,1058000,20,Half-Yearly,Active,Not Claimed,0,AG1199,2025-04-21,66+,2025,2025-04
LIC100084,32,Male,Ahmedabad,Gujarat,Pension,68200,634000,30,Yearly,Active,Not Claimed,0,AG1022,2023-09-23,26-35,2023,2023-09
LIC100085,18,Male,Bengaluru,Karnataka,Money Back,59500,895000,20,Monthly,Active,Not Claimed,0,AG1229,2024-02-23,18-25,2024,2024-02
LIC100086,46,Female,Bengaluru,Karnataka,Money Back,28600,636000,20,Monthly,Active,Not Claimed,0,AG1125,2018-10-26,46-55,2018,2018-10
LIC100087,41,Male,Mumbai,Maharashtra,Term,14600,195000,10,Monthly,Active,Not Claimed,0,AG1073,2018-07-28,36-45,2018,2018-07
LIC100088,51,Female,Kolkata,West Bengal,Money Back,41200,667000,10,Yearly,Active,Not Claimed,0,AG1186,2023-05-21,46-55,2023,2023-05
LIC100089,42,Male,Lucknow,Uttar Pradesh,Endowment,24800,404000,20,Monthly,Active,Not Claimed,0,AG1283,2019-04-04,36-45,2019,2019-04
LIC100090,40,Female,Hyderabad,Telangana,Whole Life,32000,592000,10,Half-Yearly,Lapsed,Not Claimed,0,AG1038,2020-05-28,36-45,2020,2020-05
LIC100091,51,Female,Jaipur,Rajasthan,Endowment,69800,1607000,5,Half-Yearly,Lapsed,Not Claimed,0,AG1248,2022-09-08,46-55,2022,2022-09
LIC100092,53,Female,Hyderabad,Telangana,Endowment,34100,373000,25,Quarterly,Active,Not Claimed,0,AG1076,2022-12-16,46-55,2022,2022-12
LIC100093,24,Male,Jaipur,Rajasthan,Term,18700,310000,25,Yearly,Active,Not Claimed,0,AG1141,2020-02-28,18-25,2020,2020-02
LIC100094,30,Male,Ahmedabad,Gujarat,Endowment,35700,543000,10,Monthly,Active,Not Claimed,0,AG1097,2025-01-06,26-35,2025,2025-01
LIC100095,38,Male,Bhopal,Madhya Pradesh,Term,29500,384000,20,Quarterly,Lapsed,Not Claimed,0,AG1143,2019-01-18,36-45,2019,2019-01
LIC100096,40,Male,Delhi,Delhi,Term,16300,385000,5,Yearly,Lapsed,Not Claimed,0,AG1080,2021-12-21,36-45,2021,2021-12
LIC100097,37,Female,Mumbai,Maharashtra,Micro Insurance,9400,100000,12,Monthly,Matured,Not Claimed,0,AG1256,2021-07-01,36-45,2021,2021-07
LIC100098,44,Male,Kanpur,Uttar Pradesh,Money Back,33700,340000,20,Yearly,Active,Not Claimed,0,AG1015,2025-02-08,36-45,2025,2025-02
LIC100099,50,Male,Kolkata,West Bengal,Money Back,52700,1079000,20,Yearly,Active,Not Claimed,0,AG1296,2019-05-22,46-55,2019,2019-05
LIC100100,58,Male,Bengaluru,Karnataka,Pension,65700,820000,5,Single Premium,Active,Not Claimed,0,AG1286,2018-11-26,56-65,2018,2018-11
LIC100101,45,Male,Bhopal,Madhya Pradesh,Micro Insurance,6500,132000,12,Yearly,Active,Not Claimed,0,AG1023,2026-05-13,36-45,2026,2026-05
LIC100102,30,Male,Ahmedabad,Gujarat,Money Back,28900,640000,10,Quarterly,Active,Not Claimed,0,AG1265,2024-12-10,26-35,2024,2024-12
LIC100103,37,Female,Bengaluru,Karnataka,Pension,53800,663000,30,Half-Yearly,Active,Not Claimed,0,AG1160,2020-03-24,36-45,2020,2020-03
LIC100104,38,Male,Mumbai,Maharashtra,Endowment,38500,434000,20,Monthly,Active,Claimed,294000,AG1291,2024-12-04,36-45,2024,2024-12
LIC100105,45,Male,Bengaluru,Karnataka,Endowment,38800,406000,15,Monthly,Active,Not Claimed,0,AG1096,2024-11-24,36-45,2024,2024-11
LIC100106,43,Male,Kolkata,West Bengal,Endowment,69500,792000,10,Monthly,Lapsed,Not Claimed,0,AG1272,2023-04-27,36-45,2023,2023-04
LIC100107,62,Male,Surat,Gujarat,Whole Life,46300,581000,20,Quarterly,Active,Not Claimed,0,AG1288,2020-10-16,56-65,2020,2020-10
LIC100108,34,Male,Nagpur,Maharashtra,Whole Life,35900,817000,20,Yearly,Matured,Not Claimed,0,AG1281,2021-12-16,26-35,2021,2021-12
LIC100109,43,Female,Bengaluru,Karnataka,Endowment,41300,871000,20,Quarterly,Surrendered,Not Claimed,0,AG1293,2020-10-19,36-45,2020,2020-10
LIC100110,65,Female,Mumbai,Maharashtra,Term,23200,186000,12,Half-Yearly,Matured,Claimed,69000,AG1037,2021-03-31,56-65,2021,2021-03
LIC100111,33,Female,Kolkata,West Bengal,Whole Life,28000,640000,30,Quarterly,Lapsed,Not Claimed,0,AG1163,2019-03-10,26-35,2019,2019-03
LIC100112,41,Female,Nagpur,Maharashtra,Term,21200,198000,15,Quarterly,Lapsed,Not Claimed,0,AG1136,2022-05-02,36-45,2022,2022-05
LIC100113,29,Male,Hyderabad,Telangana,Money Back,43100,825000,12,Single Premium,Active,Not Claimed,0,AG1241,2023-01-02,26-35,2023,2023-01
LIC100114,40,Female,Jaipur,Rajasthan,Whole Life,31500,333000,15,Quarterly,Active,Claimed,240000,AG1175,2018-01-16,36-45,2018,2018-01
LIC100115,30,Female,Surat,Gujarat,Whole Life,24000,217000,15,Half-Yearly,Active,Not Claimed,0,AG1292,2026-04-19,26-35,2026,2026-04
LIC100116,51,Female,Surat,Gujarat,ULIP,76700,1604000,25,Quarterly,Active,Not Claimed,0,AG1118,2019-09-12,46-55,2019,2019-09
LIC100117,41,Male,Lucknow,Uttar Pradesh,Pension,51900,827000,20,Monthly,Surrendered,Not Claimed,0,AG1257,2019-11-20,36-45,2019,2019-11
LIC100118,29,Female,Indore,Madhya Pradesh,Money Back,24000,436000,20,Half-Yearly,Active,Not Claimed,0,AG1218,2023-10-14,26-35,2023,2023-10
LIC100119,48,Female,Coimbatore,Tamil Nadu,ULIP,33100,504000,10,Yearly,Active,Not Claimed,0,AG1203,2019-07-29,46-55,2019,2019-07
LIC100120,41,Female,Hyderabad,Telangana,Whole Life,35000,320000,10,Monthly,Active,Not Claimed,0,AG1143,2020-03-30,36-45,2020,2020-03
LIC100121,49,Male,Chandigarh,Chandigarh,Term,16700,344000,15,Monthly,Surrendered,Not Claimed,0,AG1255,2023-10-22,46-55,2023,2023-10
LIC100122,26,Female,Varanasi,Uttar Pradesh,Term,20300,446000,20,Monthly,Active,Not Claimed,0,AG1096,2024-03-01,26-35,2024,2024-03
LIC100123,43,Female,Chennai,Tamil Nadu,Endowment,37000,322000,20,Yearly,Active,Not Claimed,0,AG1207,2024-04-20,36-45,2024,2024-04
LIC100124,48,Female,Kolkata,West Bengal,Money Back,43200,622000,10,Yearly,Active,Not Claimed,0,AG1087,2025-04-14,46-55,2025,2025-04
LIC100125,34,Male,Hyderabad,Telangana,Whole Life,27000,472000,10,Half-Yearly,Active,Not Claimed,0,AG1131,2022-04-02,26-35,2022,2022-04
LIC100126,25,Female,Indore,Madhya Pradesh,Pension,78400,1434000,15,Half-Yearly,Active,Not Claimed,0,AG1115,2024-02-21,18-25,2024,2024-02
LIC100127,39,Male,Surat,Gujarat,Term,24600,439000,25,Yearly,Active,Not Claimed,0,AG1288,2024-04-17,36-45,2024,2024-04
LIC100128,53,Male,Patna,Bihar,Term,31900,631000,15,Yearly,Matured,Not Claimed,0,AG1255,2025-02-10,46-55,2025,2025-02
LIC100129,51,Male,Chennai,Tamil Nadu,Micro Insurance,7200,176000,12,Yearly,Active,Not Claimed,0,AG1148,2022-04-16,46-55,2022,2022-04
LIC100130,34,Female,Indore,Madhya Pradesh,Term,22700,332000,12,Yearly,Active,Not Claimed,0,AG1056,2020-08-12,26-35,2020,2020-08
LIC100131,25,Male,Hyderabad,Telangana,Money Back,36900,644000,10,Yearly,Lapsed,Not Claimed,0,AG1099,2024-06-15,18-25,2024,2024-06
LIC100132,34,Male,Coimbatore,Tamil Nadu,Money Back,54300,1080000,15,Quarterly,Surrendered,Claimed,726000,AG1298,2021-04-19,26-35,2021,2021-04
LIC100133,34,Female,Delhi,Delhi,Money Back,35300,638000,20,Yearly,Surrendered,Not Claimed,0,AG1060,2022-12-23,26-35,2022,2022-12
LIC100134,44,Female,Lucknow,Uttar Pradesh,Term,13500,197000,30,Single Premium,Active,Not Claimed,0,AG1184,2019-10-15,36-45,2019,2019-10
LIC100135,38,Male,Indore,Madhya Pradesh,Term,10700,199000,15,Monthly,Surrendered,Claimed,57000,AG1175,2024-10-24,36-45,2024,2024-10
LIC100136,31,Female,Pune,Maharashtra,Term,28700,547000,10,Monthly,Active,Claimed,528000,AG1152,2018-10-02,26-35,2018,2018-10
LIC100137,51,Female,Bhopal,Madhya Pradesh,Money Back,49100,881000,20,Single Premium,Lapsed,Not Claimed,0,AG1297,2021-06-01,46-55,2021,2021-06
LIC100138,41,Male,Bhopal,Madhya Pradesh,Money Back,44900,516000,20,Quarterly,Active,Not Claimed,0,AG1004,2021-10-22,36-45,2021,2021-10
LIC100139,44,Male,Varanasi,Uttar Pradesh,Endowment,70600,1172000,10,Yearly,Active,Not Claimed,0,AG1076,2019-06-23,36-45,2019,2019-06
LIC100140,20,Male,Patna,Bihar,Whole Life,18900,435000,25,Quarterly,Active,Not Claimed,0,AG1001,2021-06-27,18-25,2021,2021-06
LIC100141,18,Male,Hyderabad,Telangana,Pension,43400,988000,25,Monthly,Active,Not Claimed,0,AG1270,2025-08-22,18-25,2025,2025-08
LIC100142,23,Male,Mumbai,Maharashtra,Term,16800,349000,15,Monthly,Matured,Claimed,220000,AG1164,2018-01-13,18-25,2018,2018-01
LIC100143,34,Female,Mumbai,Maharashtra,Money Back,44300,879000,15,Monthly,Active,Not Claimed,0,AG1298,2019-09-02,26-35,2019,2019-09
LIC100144,45,Female,Varanasi,Uttar Pradesh,Whole Life,27700,294000,20,Monthly,Active,Not Claimed,0,AG1048,2024-02-18,36-45,2024,2024-02
LIC100145,18,Male,Indore,Madhya Pradesh,Endowment,30000,474000,20,Half-Yearly,Active,Not Claimed,0,AG1018,2019-11-29,18-25,2019,2019-11
LIC100146,57,Male,Jaipur,Rajasthan,Endowment,37800,374000,5,Yearly,Active,Not Claimed,0,AG1089,2023-08-29,56-65,2023,2023-08
LIC100147,41,Male,Bengaluru,Karnataka,Whole Life,44400,972000,10,Single Premium,Surrendered,Not Claimed,0,AG1156,2024-07-14,36-45,2024,2024-07
LIC100148,54,Male,Hyderabad,Telangana,Pension,47900,620000,10,Quarterly,Lapsed,Not Claimed,0,AG1181,2025-09-19,46-55,2025,2025-09
LIC100149,29,Male,Pune,Maharashtra,ULIP,44600,938000,20,Half-Yearly,Surrendered,Not Claimed,0,AG1009,2019-08-02,26-35,2019,2019-08
LIC100150,45,Female,Ahmedabad,Gujarat,Money Back,48200,1053000,15,Half-Yearly,Active,Not Claimed,0,AG1152,2023-09-05,36-45,2023,2023-09
LIC100151,40,Female,Jaipur,Rajasthan,ULIP,45300,1050000,15,Half-Yearly,Active,Not Claimed,0,AG1148,2026-06-05,36-45,2026,2026-06
LIC100152,48,Male,Kolkata,West Bengal,Endowment,30100,627000,20,Half-Yearly,Active,Not Claimed,0,AG1027,2022-11-09,46-55,2022,2022-11
LIC100153,36,Female,Mumbai,Maharashtra,Whole Life,19500,343000,15,Monthly,Active,Not Claimed,0,AG1101,2020-11-16,36-45,2020,2020-11
LIC100154,44,Male,Coimbatore,Tamil Nadu,Money Back,39300,714000,20,Monthly,Active,Not Claimed,0,AG1199,2023-11-23,36-45,2023,2023-11
LIC100155,51,Female,Lucknow,Uttar Pradesh,Term,24700,332000,15,Monthly,Lapsed,Not Claimed,0,AG1083,2025-10-02,46-55,2025,2025-10
LIC100156,32,Male,Bhopal,Madhya Pradesh,Whole Life,28300,312000,15,Monthly,Active,Not Claimed,0,AG1054,2024-06-08,26-35,2024,2024-06
LIC100157,42,Male,Surat,Gujarat,Money Back,44000,450000,15,Yearly,Active,Not Claimed,0,AG1082,2020-11-01,36-45,2020,2020-11
LIC100158,18,Female,Jaipur,Rajasthan,Endowment,26700,296000,30,Monthly,Active,Not Claimed,0,AG1143,2022-08-19,18-25,2022,2022-08
LIC100159,47,Male,Varanasi,Uttar Pradesh,Pension,35600,850000,20,Yearly,Active,Not Claimed,0,AG1253,2026-08-15,46-55,2026,2026-08
LIC100160,61,Female,Chandigarh,Chandigarh,Term,44400,479000,5,Single Premium,Active,Not Claimed,0,AG1097,2026-06-17,56-65,2026,2026-06
LIC100161,25,Male,Chandigarh,Chandigarh,Endowment,59300,1204000,30,Single Premium,Active,Not Claimed,0,AG1040,2025-05-13,18-25,2025,2025-05
LIC100162,38,Male,Varanasi,Uttar Pradesh,Term,23100,257000,20,Single Premium,Active,Not Claimed,0,AG1229,2018-06-23,36-45,2018,2018-06
LIC100163,49,Male,Bhopal,Madhya Pradesh,ULIP,50500,1241000,10,Quarterly,Active,Not Claimed,0,AG1197,2021-11-25,46-55,2021,2021-11
LIC100164,39,Male,Hyderabad,Telangana,Whole Life,29400,418000,10,Half-Yearly,Matured,Claimed,386000,AG1171,2026-08-25,36-45,2026,2026-08
LIC100165,41,Female,Delhi,Delhi,Endowment,45000,675000,12,Monthly,Matured,Not Claimed,0,AG1002,2019-03-25,36-45,2019,2019-03
LIC100166,35,Male,Bengaluru,Karnataka,Whole Life,43300,644000,20,Yearly,Active,Not Claimed,0,AG1286,2023-10-03,26-35,2023,2023-10
LIC100167,34,Female,Chandigarh,Chandigarh,Endowment,47000,1028000,20,Yearly,Active,Not Claimed,0,AG1052,2021-12-21,26-35,2021,2021-12
LIC100168,38,Female,Kolkata,West Bengal,ULIP,62400,731000,12,Yearly,Active,Not Claimed,0,AG1103,2018-03-19,36-45,2018,2018-03
LIC100169,39,Female,Chandigarh,Chandigarh,Money Back,36000,797000,15,Quarterly,Active,Not Claimed,0,AG1033,2022-10-06,36-45,2022,2022-10
LIC100170,26,Male,Chandigarh,Chandigarh,Endowment,52400,1005000,10,Yearly,Surrendered,Not Claimed,0,AG1265,2024-10-22,26-35,2024,2024-10
LIC100171,38,Female,Chandigarh,Chandigarh,Pension,54100,635000,10,Monthly,Surrendered,Not Claimed,0,AG1011,2020-02-21,36-45,2020,2020-02
LIC100172,56,Male,Delhi,Delhi,Endowment,53200,485000,15,Monthly,Matured,Claimed,460000,AG1076,2018-06-21,56-65,2018,2018-06
